pid,gender,deleg,cond,feasible,achieved_class,fallback_depth,n_valid_cands,n_changed_vars,diversity,anthro_viol,energy_viol,conflict_viol,any_viol
8595,Female,-,C0_pure,True,0.0,0.0,4,15.5,21.1133,0.25,0.25,0.5,1.0
8595,Female,-,C1_posthoc,False,,,0,,,,,,
8595,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,17.67,6.0712,0.0,0.0,0.0,0.0
8595,Female,conservative,C2_pre_rule,True,0.0,0.0,4,16.0,8.6832,0.0,0.0,0.0,0.0
6832,Female,-,C0_pure,True,0.0,0.0,4,16.0,11.5338,0.5,0.0,0.5,1.0
6832,Female,-,C1_posthoc,False,,,0,,,,,,
6832,Female,aggressive,C2_pre_rule,True,1.0,1.0,4,13.25,5.4042,0.0,0.0,0.0,0.0
6832,Female,conservative,C2_pre_rule,True,0.0,0.0,3,17.0,9.6819,0.0,0.0,0.0,0.0
6220,Female,-,C0_pure,True,0.0,0.0,4,14.0,13.4889,0.0,0.25,0.0,1.0
6220,Female,-,C1_posthoc,False,,,0,,,,,,
6220,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,13.5,13.0501,0.0,0.0,0.0,0.0
6220,Female,conservative,C2_pre_rule,True,0.0,0.0,3,11.67,3.9725,0.0,0.0,0.0,0.0
7997,Female,-,C0_pure,True,0.0,0.0,4,14.75,12.2379,0.5,0.0,0.0,1.0
7997,Female,-,C1_posthoc,False,,,0,,,,,,
7997,Female,aggressive,C2_pre_rule,True,0.0,0.0,2,20.5,4.1361,0.0,0.0,0.0,0.0
7997,Female,conservative,C2_pre_rule,True,1.0,1.0,4,7.0,1.9789,0.0,0.0,0.0,0.0
6604,Female,-,C0_pure,True,0.0,0.0,4,13.75,15.2524,0.0,0.25,0.0,1.0
6604,Female,-,C1_posthoc,False,,,0,,,,,,
6604,Female,aggressive,C2_pre_rule,True,0.0,0.0,2,18.0,16.418,0.0,0.0,0.0,0.0
6604,Female,conservative,C2_pre_rule,True,0.0,0.0,3,15.0,12.452,0.0,0.0,0.0,0.0
8684,Female,-,C0_pure,True,0.0,0.0,4,14.0,12.2496,0.0,0.0,0.0,0.0
8684,Female,-,C1_posthoc,False,,,0,,,,,,
8684,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,8.75,6.5343,0.0,0.0,0.0,0.0
8684,Female,conservative,C2_pre_rule,True,0.0,0.0,4,8.0,3.5255,0.0,0.0,0.0,0.0
3657,Female,-,C0_pure,True,0.0,0.0,4,13.75,10.9552,0.75,0.0,0.25,1.0
3657,Female,-,C1_posthoc,False,,,0,,,,,,
3657,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,9.67,7.0919,0.0,0.0,0.0,0.0
3657,Female,conservative,C2_pre_rule,True,0.0,0.0,2,12.5,10.2566,0.0,0.0,0.0,0.0
6319,Female,-,C0_pure,True,0.0,0.0,4,15.75,19.6262,0.0,0.0,0.0,0.0
6319,Female,-,C1_posthoc,False,,,0,,,,,,
6319,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,9.67,7.0802,0.0,0.0,0.0,0.0
6319,Female,conservative,C2_pre_rule,True,0.0,0.0,4,9.25,4.5028,0.0,0.0,0.0,0.0
6725,Female,-,C0_pure,True,0.0,0.0,4,14.75,12.2223,0.0,0.0,0.5,1.0
6725,Female,-,C1_posthoc,False,,,0,,,,,,
6725,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,17.0,8.4777,0.0,0.0,0.0,0.0
6725,Female,conservative,C2_pre_rule,True,0.0,0.0,3,16.33,3.4248,0.0,0.0,0.0,0.0
9719,Female,-,C0_pure,True,0.0,0.0,4,15.5,17.8586,0.0,0.25,0.5,1.0
9719,Female,-,C1_posthoc,False,,,0,,,,,,
9719,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,16.25,10.6304,0.0,0.0,0.0,0.0
9719,Female,conservative,C2_pre_rule,True,0.0,0.0,3,14.67,5.4199,0.0,0.0,0.0,0.0
8375,Female,-,C0_pure,True,0.0,0.0,4,15.5,9.0928,0.0,0.0,0.5,1.0
8375,Female,-,C1_posthoc,False,,,0,,,,,,
8375,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,13.0,10.2801,0.0,0.0,0.0,0.0
8375,Female,conservative,C2_pre_rule,True,0.0,0.0,4,10.5,5.5007,0.0,0.0,0.0,0.0
6901,Female,-,C0_pure,True,0.0,0.0,3,17.0,9.4489,0.3333333333333333,0.3333333333333333,0.0,1.0
6901,Female,-,C1_posthoc,False,,,0,,,,,,
6901,Female,aggressive,C2_pre_rule,True,1.0,1.0,4,5.75,0.9203,0.0,0.0,0.0,0.0
6901,Female,conservative,C2_pre_rule,True,0.0,0.0,1,22.0,0.0,0.0,0.0,0.0,0.0
9270,Female,-,C0_pure,True,0.0,0.0,4,14.25,15.2453,0.0,0.0,0.5,1.0
9270,Female,-,C1_posthoc,False,,,0,,,,,,
9270,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,16.33,9.1148,0.0,0.0,0.0,0.0
9270,Female,conservative,C2_pre_rule,True,0.0,0.0,2,15.5,4.6275,0.0,0.0,0.0,0.0
8996,Female,-,C0_pure,True,0.0,0.0,4,15.75,19.1017,0.0,0.0,0.0,0.0
8996,Female,-,C1_posthoc,False,,,0,,,,,,
8996,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,10.5,7.0316,0.0,0.0,0.0,0.0
8996,Female,conservative,C2_pre_rule,True,0.0,0.0,4,10.75,5.9138,0.0,0.0,0.0,0.0
3898,Female,-,C0_pure,True,0.0,0.0,4,13.75,11.4034,0.0,0.0,0.25,1.0
3898,Female,-,C1_posthoc,False,,,0,,,,,,
3898,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,9.0,4.9177,0.0,0.0,0.0,0.0
3898,Female,conservative,C2_pre_rule,True,0.0,0.0,4,9.5,5.3296,0.0,0.0,0.0,0.0
4766,Female,-,C0_pure,True,0.0,0.0,4,15.25,10.3697,0.0,0.0,1.0,1.0
4766,Female,-,C1_posthoc,False,,,0,,,,,,
4766,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,8.75,6.3785,0.0,0.0,0.0,0.0
4766,Female,conservative,C2_pre_rule,True,0.0,0.0,4,10.5,4.6954,0.0,0.0,0.0,0.0
6552,Female,-,C0_pure,True,0.0,0.0,4,15.75,16.4174,0.0,0.0,0.5,1.0
6552,Female,-,C1_posthoc,False,,,0,,,,,,
6552,Female,aggressive,C2_pre_rule,True,0.0,0.0,2,14.5,2.9919,0.0,0.0,0.0,0.0
6552,Female,conservative,C2_pre_rule,True,0.0,0.0,2,19.0,8.0703,0.0,0.0,0.0,0.0
4088,Female,-,C0_pure,True,0.0,0.0,4,14.5,12.8803,0.25,0.0,0.25,1.0
4088,Female,-,C1_posthoc,False,,,0,,,,,,
4088,Female,aggressive,C2_pre_rule,True,0.0,0.0,2,17.0,6.3193,0.0,0.0,0.0,0.0
4088,Female,conservative,C2_pre_rule,True,0.0,0.0,1,20.0,0.0,0.0,0.0,0.0,0.0
6670,Female,-,C0_pure,True,0.0,0.0,4,15.25,19.3264,0.25,0.5,0.0,1.0
6670,Female,-,C1_posthoc,False,,,0,,,,,,
6670,Female,aggressive,C2_pre_rule,True,0.0,0.0,1,16.0,0.0,0.0,0.0,0.0,0.0
6670,Female,conservative,C2_pre_rule,True,0.0,0.0,4,18.0,8.721,0.0,0.0,0.0,0.0
9561,Female,-,C0_pure,True,0.0,0.0,4,16.75,30.7165,0.25,0.25,0.5,1.0
9561,Female,-,C1_posthoc,False,,,0,,,,,,
9561,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,9.75,10.6805,0.0,0.0,0.0,0.0
9561,Female,conservative,C2_pre_rule,True,0.0,0.0,4,10.0,7.6576,0.0,0.0,0.0,0.0
3788,Female,-,C0_pure,True,0.0,0.0,4,13.75,13.8864,0.0,0.0,0.0,0.0
3788,Female,-,C1_posthoc,False,,,0,,,,,,
3788,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,6.5,3.3584,0.0,0.0,0.0,0.0
3788,Female,conservative,C2_pre_rule,True,0.0,0.0,4,6.75,4.9143,0.0,0.0,0.0,0.0
7990,Female,-,C0_pure,True,0.0,0.0,4,14.75,20.4638,0.0,0.0,0.25,1.0
7990,Female,-,C1_posthoc,False,,,0,,,,,,
7990,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,7.5,6.8165,0.0,0.0,0.0,0.0
7990,Female,conservative,C2_pre_rule,True,0.0,0.0,3,8.33,4.6161,0.0,0.0,0.0,0.0
6735,Female,-,C0_pure,True,0.0,0.0,4,15.75,8.3124,0.25,0.0,0.25,1.0
6735,Female,-,C1_posthoc,False,,,0,,,,,,
6735,Female,aggressive,C2_pre_rule,True,1.0,1.0,4,10.25,2.8222,0.0,0.0,0.0,0.0
6735,Female,conservative,C2_pre_rule,True,1.0,1.0,4,9.25,2.621,0.0,0.0,0.0,0.0
9155,Female,-,C0_pure,True,0.0,0.0,4,15.75,16.0051,0.0,0.0,0.25,1.0
9155,Female,-,C1_posthoc,False,,,0,,,,,,
9155,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,6.25,1.7525,0.0,0.0,0.0,0.0
9155,Female,conservative,C2_pre_rule,True,0.0,0.0,4,6.25,1.85,0.0,0.0,0.0,0.0
2599,Female,-,C0_pure,True,0.0,0.0,4,13.75,12.7478,0.0,0.0,0.0,0.0
2599,Female,-,C1_posthoc,False,,,0,,,,,,
2599,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,7.67,6.7211,0.0,0.0,0.0,0.0
2599,Female,conservative,C2_pre_rule,True,0.0,0.0,4,8.25,2.3677,0.0,0.0,0.0,0.0
3879,Female,-,C0_pure,True,0.0,0.0,4,16.75,13.9118,0.25,0.0,0.75,1.0
3879,Female,-,C1_posthoc,False,,,0,,,,,,
3879,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,10.67,6.2347,0.0,0.0,0.0,0.0
3879,Female,conservative,C2_pre_rule,True,0.0,0.0,4,9.75,4.2685,0.0,0.0,0.0,0.0
4303,Female,-,C0_pure,True,0.0,0.0,4,14.0,13.382,0.0,0.0,0.5,1.0
4303,Female,-,C1_posthoc,False,,,0,,,,,,
4303,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,9.67,11.0978,0.0,0.0,0.0,0.0
4303,Female,conservative,C2_pre_rule,True,0.0,0.0,3,12.67,6.0492,0.0,0.0,0.0,0.0
7732,Female,-,C0_pure,True,0.0,0.0,4,13.25,9.9353,0.25,0.25,0.0,1.0
7732,Female,-,C1_posthoc,False,,,0,,,,,,
7732,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,9.67,4.0912,0.0,0.0,0.0,0.0
7732,Female,conservative,C2_pre_rule,True,0.0,0.0,4,8.0,2.9325,0.0,0.0,0.0,0.0
7051,Female,-,C0_pure,True,0.0,0.0,4,14.5,9.3335,0.0,0.0,0.75,1.0
7051,Female,-,C1_posthoc,False,,,0,,,,,,
7051,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,9.25,2.2394,0.0,0.0,0.0,0.0
7051,Female,conservative,C2_pre_rule,True,0.0,0.0,4,9.5,1.9636,0.0,0.0,0.0,0.0
8548,Female,-,C0_pure,True,0.0,0.0,4,14.5,15.3187,0.0,0.25,0.5,1.0
8548,Female,-,C1_posthoc,False,,,0,,,,,,
8548,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,9.75,6.7316,0.0,0.0,0.0,0.0
8548,Female,conservative,C2_pre_rule,True,0.0,0.0,4,9.25,4.3657,0.0,0.0,0.0,0.0
4767,Female,-,C0_pure,True,0.0,0.0,4,14.5,14.7843,0.5,0.25,0.25,1.0
4767,Female,-,C1_posthoc,False,,,0,,,,,,
4767,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,7.25,1.4851,0.0,0.0,0.0,0.0
4767,Female,conservative,C2_pre_rule,True,0.0,0.0,4,7.25,1.5165,0.0,0.0,0.0,0.0
7741,Female,-,C0_pure,True,0.0,0.0,4,15.25,16.5437,0.0,0.5,0.75,1.0
7741,Female,-,C1_posthoc,False,,,0,,,,,,
7741,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,11.75,9.5932,0.0,0.0,0.0,0.0
7741,Female,conservative,C2_pre_rule,True,0.0,0.0,4,8.75,5.2704,0.0,0.0,0.0,0.0
6511,Female,-,C0_pure,True,0.0,0.0,4,14.0,7.449,0.25,0.0,0.75,1.0
6511,Female,-,C1_posthoc,False,,,0,,,,,,
6511,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,7.5,2.9911,0.0,0.0,0.0,0.0
6511,Female,conservative,C2_pre_rule,True,0.0,0.0,4,7.75,2.359,0.0,0.0,0.0,0.0
9616,Female,-,C0_pure,True,0.0,0.0,4,15.75,14.4708,0.25,0.0,0.75,1.0
9616,Female,-,C1_posthoc,False,,,0,,,,,,
9616,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,17.5,10.8943,0.0,0.0,0.0,0.0
9616,Female,conservative,C2_pre_rule,True,0.0,0.0,2,14.5,7.0527,0.0,0.0,0.0,0.0
6616,Female,-,C0_pure,True,0.0,0.0,4,15.25,12.5426,0.0,0.0,0.25,1.0
6616,Female,-,C1_posthoc,False,,,0,,,,,,
6616,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,18.33,7.9297,0.0,0.0,0.0,0.0
6616,Female,conservative,C2_pre_rule,True,0.0,0.0,1,19.0,0.0,0.0,0.0,0.0,0.0
7857,Female,-,C0_pure,True,0.0,0.0,4,15.25,6.7916,0.5,0.0,0.5,1.0
7857,Female,-,C1_posthoc,False,,,0,,,,,,
7857,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,14.75,10.6157,0.0,0.0,0.0,0.0
7857,Female,conservative,C2_pre_rule,True,0.0,0.0,4,15.0,5.5111,0.0,0.0,0.0,0.0
9051,Female,-,C0_pure,True,0.0,0.0,4,13.75,11.9027,0.0,0.0,0.0,0.0
9051,Female,-,C1_posthoc,False,,,0,,,,,,
9051,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,11.0,11.0107,0.0,0.0,0.0,0.0
9051,Female,conservative,C2_pre_rule,True,0.0,0.0,4,11.25,11.4788,0.0,0.0,0.0,0.0
7933,Female,-,C0_pure,True,0.0,0.0,3,14.67,12.6003,0.0,0.3333333333333333,0.3333333333333333,1.0
7933,Female,-,C1_posthoc,False,,,0,,,,,,
7933,Female,aggressive,C2_pre_rule,True,0.0,0.0,1,19.0,0.0,0.0,0.0,0.0,0.0
7933,Female,conservative,C2_pre_rule,True,0.0,0.0,3,21.67,2.4175,0.0,0.0,0.0,0.0
8392,Female,-,C0_pure,True,0.0,0.0,4,14.75,17.5541,0.0,0.25,1.0,1.0
8392,Female,-,C1_posthoc,False,,,0,,,,,,
8392,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,7.0,4.4672,0.0,0.0,0.0,0.0
8392,Female,conservative,C2_pre_rule,True,0.0,0.0,4,7.5,4.4419,0.0,0.0,0.0,0.0
7372,Female,-,C0_pure,True,0.0,0.0,4,14.0,18.7449,0.25,0.5,0.5,1.0
7372,Female,-,C1_posthoc,False,,,0,,,,,,
7372,Female,aggressive,C2_pre_rule,True,0.0,0.0,3,18.33,2.9666,0.0,0.0,0.0,0.0
7372,Female,conservative,C2_pre_rule,True,0.0,0.0,4,11.5,6.3127,0.0,0.0,0.0,0.0
6320,Female,-,C0_pure,True,0.0,0.0,4,13.25,12.4687,0.25,0.0,0.5,1.0
6320,Female,-,C1_posthoc,False,,,0,,,,,,
6320,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,13.25,6.4961,0.0,0.0,0.0,0.0
6320,Female,conservative,C2_pre_rule,True,0.0,0.0,4,13.5,5.7763,0.0,0.0,0.0,0.0
8101,Female,-,C0_pure,True,0.0,0.0,4,13.75,7.8968,0.5,0.25,0.0,1.0
8101,Female,-,C1_posthoc,False,,,0,,,,,,
8101,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,15.5,13.5287,0.0,0.0,0.0,0.0
8101,Female,conservative,C2_pre_rule,True,0.0,0.0,2,16.0,0.441,0.0,0.0,0.0,0.0
9544,Female,-,C0_pure,True,0.0,0.0,4,15.5,12.4768,0.0,0.0,0.25,1.0
9544,Female,-,C1_posthoc,False,,,0,,,,,,
9544,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,12.5,9.9601,0.0,0.0,0.0,0.0
9544,Female,conservative,C2_pre_rule,True,0.0,0.0,2,15.0,13.8528,0.0,0.0,0.0,0.0
8554,Female,-,C0_pure,True,0.0,0.0,4,14.25,18.3167,0.0,0.0,0.5,1.0
8554,Female,-,C1_posthoc,False,,,0,,,,,,
8554,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,4.0,1.48,0.0,0.0,0.0,0.0
8554,Female,conservative,C2_pre_rule,True,0.0,0.0,4,4.75,1.7838,0.0,0.0,0.0,0.0
6161,Female,-,C0_pure,True,0.0,0.0,4,15.0,8.7962,0.0,0.25,0.0,1.0
6161,Female,-,C1_posthoc,False,,,0,,,,,,
6161,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,7.0,1.5242,0.0,0.0,0.0,0.0
6161,Female,conservative,C2_pre_rule,True,0.0,0.0,4,7.0,1.547,0.0,0.0,0.0,0.0
4957,Female,-,C0_pure,True,0.0,0.0,4,12.5,12.0913,0.25,0.0,0.0,1.0
4957,Female,-,C1_posthoc,False,,,0,,,,,,
4957,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,9.25,2.7493,0.0,0.0,0.0,0.0
4957,Female,conservative,C2_pre_rule,True,0.0,0.0,4,9.75,2.8062,0.0,0.0,0.0,0.0
7519,Female,-,C0_pure,True,0.0,0.0,4,14.0,14.1576,0.0,0.0,0.0,0.0
7519,Female,-,C1_posthoc,False,,,0,,,,,,
7519,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,9.0,3.5721,0.0,0.0,0.0,0.0
7519,Female,conservative,C2_pre_rule,True,0.0,0.0,4,8.5,4.163,0.0,0.0,0.0,0.0
9460,Female,-,C0_pure,True,0.0,0.0,4,15.5,19.8414,0.0,0.25,0.0,1.0
9460,Female,-,C1_posthoc,False,,,0,,,,,,
9460,Female,aggressive,C2_pre_rule,True,0.0,0.0,1,17.0,0.0,0.0,0.0,0.0,0.0
9460,Female,conservative,C2_pre_rule,True,0.0,0.0,1,22.0,0.0,0.0,0.0,0.0,0.0
4882,Female,-,C0_pure,True,0.0,0.0,4,13.75,14.9891,0.25,0.0,0.25,1.0
4882,Female,-,C1_posthoc,False,,,0,,,,,,
