pid,gender,deleg,cond,feasible,achieved_class,fallback_depth,n_valid_cands,n_changed_vars,diversity,anthro_viol,energy_viol,conflict_viol,any_viol
7074,Male,-,C0_pure,True,0.0,0.0,4,15.0,12.0859,1.0,0.0,0.5,1.0
7074,Male,-,C1_posthoc,False,,,0,,,,,,
7074,Male,aggressive,C2_pre_rule,True,0.0,0.0,3,4.67,2.3715,0.0,0.0,0.0,0.0
7074,Male,conservative,C2_pre_rule,True,0.0,0.0,4,4.5,0.5168,0.0,0.0,0.0,0.0
4311,Male,-,C0_pure,True,0.0,0.0,4,15.75,15.5771,0.0,0.0,0.5,1.0
4311,Male,-,C1_posthoc,False,,,0,,,,,,
4311,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,8.25,2.8647,0.0,0.0,0.0,0.0
4311,Male,conservative,C2_pre_rule,True,0.0,0.0,4,7.25,2.2817,0.0,0.0,0.0,0.0
8566,Male,-,C0_pure,True,0.0,0.0,4,14.75,23.0653,0.0,0.25,0.75,1.0
8566,Male,-,C1_posthoc,False,,,0,,,,,,
8566,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,8.5,5.668,0.0,0.0,0.0,0.0
8566,Male,conservative,C2_pre_rule,True,0.0,0.0,4,8.5,6.14,0.0,0.0,0.0,0.0
7460,Male,-,C0_pure,True,0.0,0.0,4,14.5,14.1254,1.0,0.25,0.75,1.0
7460,Male,-,C1_posthoc,False,,,0,,,,,,
7460,Male,aggressive,C2_pre_rule,True,0.0,0.0,2,8.5,2.9199,0.0,0.0,0.0,0.0
7460,Male,conservative,C2_pre_rule,True,0.0,0.0,1,9.0,0.0,0.0,0.0,0.0,0.0
6650,Male,-,C0_pure,True,0.0,0.0,4,15.25,14.4801,0.0,0.25,0.25,1.0
6650,Male,-,C1_posthoc,False,,,0,,,,,,
6650,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,7.5,4.2658,0.0,0.0,0.0,0.0
6650,Male,conservative,C2_pre_rule,True,0.0,0.0,3,7.67,3.1423,0.0,0.0,0.0,0.0
7018,Male,-,C0_pure,True,0.0,0.0,4,14.5,10.3233,0.0,0.0,1.0,1.0
7018,Male,-,C1_posthoc,False,,,0,,,,,,
7018,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,5.0,1.0937,0.0,0.0,0.0,0.0
7018,Male,conservative,C2_pre_rule,True,0.0,0.0,4,5.0,1.053,0.0,0.0,0.0,0.0
4071,Male,-,C0_pure,True,0.0,0.0,4,15.0,11.2118,0.5,0.0,0.25,1.0
4071,Male,-,C1_posthoc,False,,,0,,,,,,
4071,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,9.0,4.0879,0.0,0.0,0.0,0.0
4071,Male,conservative,C2_pre_rule,True,0.0,0.0,4,9.25,2.8751,0.0,0.0,0.0,0.0
7225,Male,-,C0_pure,True,0.0,0.0,4,14.75,13.6944,0.0,0.0,0.75,1.0
7225,Male,-,C1_posthoc,False,,,0,,,,,,
7225,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,12.25,5.9784,0.0,0.0,0.0,0.0
7225,Male,conservative,C2_pre_rule,True,0.0,0.0,4,15.0,7.1661,0.0,0.0,0.0,0.0
5728,Male,-,C0_pure,True,0.0,0.0,4,16.75,19.7308,0.0,0.5,0.75,1.0
5728,Male,-,C1_posthoc,False,,,0,,,,,,
5728,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,6.25,2.915,0.0,0.0,0.0,0.0
5728,Male,conservative,C2_pre_rule,True,0.0,0.0,4,6.75,2.8121,0.0,0.0,0.0,0.0
4126,Male,-,C0_pure,True,0.0,0.0,4,16.5,16.6329,0.0,0.0,0.75,1.0
4126,Male,-,C1_posthoc,False,,,0,,,,,,
4126,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,6.5,4.2932,0.0,0.0,0.0,0.0
4126,Male,conservative,C2_pre_rule,True,0.0,0.0,4,6.5,3.2902,0.0,0.0,0.0,0.0
4158,Male,-,C0_pure,True,0.0,0.0,4,15.25,9.6783,0.0,0.0,0.25,1.0
4158,Male,-,C1_posthoc,False,,,0,,,,,,
4158,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,8.5,2.2584,0.0,0.0,0.0,0.0
4158,Male,conservative,C2_pre_rule,True,0.0,0.0,4,8.5,2.2186,0.0,0.0,0.0,0.0
7992,Male,-,C0_pure,True,0.0,0.0,4,15.5,20.9322,0.25,0.25,0.0,1.0
7992,Male,-,C1_posthoc,False,,,0,,,,,,
7992,Male,aggressive,C2_pre_rule,True,0.0,0.0,3,6.33,2.3344,0.0,0.0,0.0,0.0
7992,Male,conservative,C2_pre_rule,True,0.0,0.0,3,6.33,2.422,0.0,0.0,0.0,0.0
8795,Male,-,C0_pure,True,0.0,0.0,4,15.75,14.5316,0.0,0.0,0.25,1.0
8795,Male,-,C1_posthoc,False,,,0,,,,,,
8795,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,10.25,4.2624,0.0,0.0,0.0,0.0
8795,Male,conservative,C2_pre_rule,True,0.0,0.0,3,11.33,2.5718,0.0,0.0,0.0,0.0
9073,Male,-,C0_pure,True,0.0,0.0,4,15.25,19.966,0.0,0.25,0.0,1.0
9073,Male,-,C1_posthoc,False,,,0,,,,,,
9073,Male,aggressive,C2_pre_rule,True,0.0,0.0,1,19.0,0.0,0.0,0.0,0.0,0.0
9073,Male,conservative,C2_pre_rule,True,1.0,1.0,4,6.5,9.9885,0.0,0.0,0.0,0.0
3612,Male,-,C0_pure,True,0.0,0.0,4,17.25,28.2053,0.0,0.25,0.0,1.0
3612,Male,-,C1_posthoc,False,,,0,,,,,,
3612,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,9.75,7.8671,0.0,0.0,0.0,0.0
3612,Male,conservative,C2_pre_rule,True,0.0,0.0,4,10.5,6.85,0.0,0.0,0.0,0.0
7902,Male,-,C0_pure,True,0.0,0.0,4,16.25,14.1538,0.0,0.0,0.25,1.0
7902,Male,-,C1_posthoc,False,,,0,,,,,,
7902,Male,aggressive,C2_pre_rule,True,0.0,0.0,3,10.67,6.187,0.0,0.0,0.0,0.0
7902,Male,conservative,C2_pre_rule,True,0.0,0.0,3,14.67,4.8995,0.0,0.0,0.0,0.0
5416,Male,-,C0_pure,True,0.0,0.0,4,14.75,12.5238,0.0,0.0,0.0,0.0
5416,Male,-,C1_posthoc,False,,,0,,,,,,
5416,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,10.25,5.0948,0.0,0.0,0.0,0.0
5416,Male,conservative,C2_pre_rule,True,0.0,0.0,3,10.33,3.5099,0.0,0.0,0.0,0.0
8167,Male,-,C0_pure,True,0.0,0.0,4,15.75,23.1075,0.0,0.25,0.25,1.0
8167,Male,-,C1_posthoc,False,,,0,,,,,,
8167,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,9.0,5.5108,0.0,0.0,0.0,0.0
8167,Male,conservative,C2_pre_rule,True,0.0,0.0,4,9.0,4.7932,0.0,0.0,0.0,0.0
3338,Male,-,C0_pure,True,0.0,0.0,4,16.25,9.3208,0.5,0.0,0.25,1.0
3338,Male,-,C1_posthoc,False,,,0,,,,,,
3338,Male,aggressive,C2_pre_rule,True,0.0,0.0,1,18.0,0.0,0.0,0.0,0.0,0.0
3338,Male,conservative,C2_pre_rule,True,2.0,2.0,1,11.0,0.0,0.0,0.0,0.0,0.0
9469,Male,-,C0_pure,True,0.0,0.0,3,15.0,16.6606,0.0,0.0,0.6666666666666666,1.0
9469,Male,-,C1_posthoc,False,,,0,,,,,,
9469,Male,aggressive,C2_pre_rule,True,0.0,0.0,3,11.0,5.1857,0.0,0.0,0.0,0.0
9469,Male,conservative,C2_pre_rule,True,0.0,0.0,2,14.0,14.4616,0.0,0.0,0.0,0.0
5145,Male,-,C0_pure,True,0.0,0.0,4,16.25,13.549,1.0,0.0,0.5,1.0
5145,Male,-,C1_posthoc,False,,,0,,,,,,
5145,Male,aggressive,C2_pre_rule,False,,,0,,,,,,
5145,Male,conservative,C2_pre_rule,False,,,0,,,,,,
6627,Male,-,C0_pure,True,0.0,0.0,3,14.67,20.3159,0.6666666666666666,0.0,1.0,1.0
6627,Male,-,C1_posthoc,False,,,0,,,,,,
6627,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,5.75,2.0801,0.0,0.0,0.0,0.0
6627,Male,conservative,C2_pre_rule,True,0.0,0.0,3,6.0,1.8301,0.0,0.0,0.0,0.0
6633,Male,-,C0_pure,True,0.0,0.0,4,14.75,17.509,0.0,0.0,0.25,1.0
6633,Male,-,C1_posthoc,False,,,0,,,,,,
6633,Male,aggressive,C2_pre_rule,True,0.0,0.0,1,20.0,0.0,0.0,0.0,0.0,0.0
6633,Male,conservative,C2_pre_rule,True,0.0,0.0,1,18.0,0.0,0.0,0.0,0.0,0.0
5186,Male,-,C0_pure,True,0.0,0.0,4,14.75,14.8281,0.0,0.0,0.0,0.0
5186,Male,-,C1_posthoc,False,,,0,,,,,,
5186,Male,aggressive,C2_pre_rule,True,0.0,0.0,3,12.0,5.3262,0.0,0.0,0.0,0.0
5186,Male,conservative,C2_pre_rule,True,0.0,0.0,2,18.0,10.488,0.0,0.0,0.0,0.0
6593,Male,-,C0_pure,True,0.0,0.0,4,15.25,11.0647,0.0,0.0,0.25,1.0
6593,Male,-,C1_posthoc,False,,,0,,,,,,
6593,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,8.0,2.9177,0.0,0.0,0.0,0.0
6593,Male,conservative,C2_pre_rule,True,0.0,0.0,4,8.25,4.4065,0.0,0.0,0.0,0.0
9211,Male,-,C0_pure,True,0.0,0.0,4,15.5,17.3988,0.0,0.0,0.5,1.0
9211,Male,-,C1_posthoc,False,,,0,,,,,,
9211,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,6.25,2.8079,0.0,0.0,0.0,0.0
9211,Male,conservative,C2_pre_rule,True,0.0,0.0,4,7.25,2.6618,0.0,0.0,0.0,0.0
5110,Male,-,C0_pure,True,0.0,0.0,4,15.0,10.1616,0.0,0.0,0.25,1.0
5110,Male,-,C1_posthoc,False,,,0,,,,,,
5110,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,7.25,3.2969,0.0,0.0,0.0,0.0
5110,Male,conservative,C2_pre_rule,True,0.0,0.0,4,8.0,3.3166,0.0,0.0,0.0,0.0
8291,Male,-,C0_pure,True,0.0,0.0,4,14.25,13.4666,0.75,0.0,0.5,1.0
8291,Male,-,C1_posthoc,False,,,0,,,,,,
8291,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,8.5,4.2896,0.0,0.0,0.0,0.0
8291,Male,conservative,C2_pre_rule,True,0.0,0.0,4,8.75,3.783,0.0,0.0,0.0,0.0
3417,Male,-,C0_pure,True,0.0,0.0,4,16.75,20.3336,0.5,0.0,0.0,1.0
3417,Male,-,C1_posthoc,False,,,0,,,,,,
3417,Male,aggressive,C2_pre_rule,True,0.0,0.0,3,9.0,6.6033,0.0,0.0,0.0,0.0
3417,Male,conservative,C2_pre_rule,True,0.0,0.0,3,12.67,12.8602,0.0,0.0,0.0,0.0
8760,Male,-,C0_pure,True,0.0,0.0,4,15.5,11.0878,0.25,0.0,1.0,1.0
8760,Male,-,C1_posthoc,False,,,0,,,,,,
8760,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,6.75,2.1164,0.0,0.0,0.0,0.0
8760,Male,conservative,C2_pre_rule,True,0.0,0.0,3,7.33,2.3161,0.0,0.0,0.0,0.0
9287,Male,-,C0_pure,True,0.0,0.0,4,15.5,16.936,0.75,0.25,0.5,1.0
9287,Male,-,C1_posthoc,False,,,0,,,,,,
9287,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,7.75,2.3317,0.0,0.0,0.0,0.0
9287,Male,conservative,C2_pre_rule,True,0.0,0.0,4,7.75,4.2563,0.0,0.0,0.0,0.0
8845,Male,-,C0_pure,True,0.0,0.0,4,15.0,14.3905,0.5,0.25,0.5,1.0
8845,Male,-,C1_posthoc,False,,,0,,,,,,
8845,Male,aggressive,C2_pre_rule,True,0.0,0.0,4,7.5,2.2668,0.0,0.0,0.0,0.0
