pid,gender,c0_feasible,n_cand,posthoc_a0.25,posthoc_a0.5,posthoc_a0.75,posthoc_a1.0,posthoc_a1.5,posthoc_a2.0,posthoc_a3.0,posthoc_a5.0
7074,Male,True,4,False,False,False,False,False,False,False,False
4311,Male,True,4,False,False,False,False,False,False,False,False
8566,Male,True,4,False,False,False,False,False,False,False,False
7460,Male,True,4,False,False,False,False,False,False,False,False
6650,Male,True,4,False,False,False,False,False,False,False,False
7018,Male,True,4,False,False,False,False,False,False,False,False
4071,Male,True,4,False,False,False,False,False,False,False,False
7225,Male,True,4,False,False,False,False,False,False,False,False
5728,Male,True,4,False,False,False,False,False,False,False,False
4126,Male,True,4,False,False,False,False,False,False,False,False
4158,Male,True,4,False,False,False,False,False,False,False,False
7992,Male,True,4,False,False,False,False,False,False,False,False
8795,Male,True,4,False,False,False,False,False,False,False,False
9073,Male,True,4,False,False,False,False,False,False,False,False
3612,Male,True,4,False,False,False,False,False,False,False,False
7902,Male,True,4,False,False,False,False,False,False,False,False
5416,Male,True,4,False,False,False,False,False,False,False,False
8167,Male,True,4,False,False,False,False,False,False,False,False
3338,Male,True,4,False,False,False,False,False,False,False,False
9469,Male,True,3,False,False,False,False,False,False,False,False
5145,Male,True,4,False,False,False,False,False,False,False,False
6627,Male,True,4,False,False,False,False,False,False,False,False
6633,Male,True,4,False,False,False,False,False,False,False,False
5186,Male,True,4,False,False,False,False,False,False,False,False
6593,Male,True,4,False,False,False,False,False,False,False,False
9211,Male,True,4,False,False,False,False,False,False,False,False
5110,Male,True,4,False,False,False,False,False,False,False,False
8291,Male,True,4,False,False,False,False,False,False,False,False
3417,Male,True,4,False,False,False,False,False,False,False,False
8760,Male,True,4,False,False,False,False,False,False,False,False
9287,Male,True,4,False,False,False,False,False,False,False,False
8845,Male,True,4,False,False,False,False,False,False,False,False
8989,Male,True,4,False,False,False,False,False,False,False,False
3752,Male,True,4,False,False,False,False,False,False,False,False
7745,Male,True,4,False,False,False,False,False,False,False,False
8076,Male,True,4,False,False,False,False,False,False,False,False
2601,Male,True,4,False,False,False,False,False,False,False,False
8843,Male,True,4,False,False,False,False,False,False,False,False
3197,Male,True,4,False,False,False,False,False,False,False,False
6589,Male,True,4,False,False,False,False,False,False,False,False
6419,Male,True,4,False,False,False,False,False,False,False,False
3027,Male,True,4,False,False,False,False,False,False,False,False
6352,Male,True,4,False,False,False,False,False,False,False,False
