pid,gender,v_range,v_noinc,v_couple,v_floor,admissible
7074,Male,True,True,True,True,False
7074,Male,True,True,True,True,False
7074,Male,True,True,True,True,False
7074,Male,True,True,True,False,False
4311,Male,True,True,False,False,False
4311,Male,True,True,False,False,False
4311,Male,True,True,True,True,False
4311,Male,True,True,True,True,False
8566,Male,True,True,True,False,False
8566,Male,True,True,False,False,False
8566,Male,True,True,True,True,False
8566,Male,True,True,True,True,False
7460,Male,True,True,True,False,False
7460,Male,True,True,True,False,False
7460,Male,True,True,True,True,False
7460,Male,True,True,True,True,False
6650,Male,True,True,False,False,False
6650,Male,True,True,True,False,False
6650,Male,True,True,False,False,False
6650,Male,True,True,False,False,False
7018,Male,True,True,True,False,False
7018,Male,True,False,True,True,False
7018,Male,True,True,False,False,False
7018,Male,True,True,True,True,False
4071,Male,True,True,True,False,False
4071,Male,True,True,False,False,False
4071,Male,True,True,True,False,False
4071,Male,True,True,False,False,False
7225,Male,True,True,False,False,False
7225,Male,True,True,True,True,False
7225,Male,True,True,False,True,False
7225,Male,True,True,False,False,False
5728,Male,True,True,False,True,False
5728,Male,True,True,False,True,False
5728,Male,True,True,True,True,False
5728,Male,True,True,False,True,False
4126,Male,True,True,True,True,False
4126,Male,True,True,False,False,False
4126,Male,True,True,False,False,False
4126,Male,True,True,False,True,False
4158,Male,True,True,False,False,False
4158,Male,True,True,False,False,False
4158,Male,True,True,True,True,False
4158,Male,True,True,False,False,False
7992,Male,True,True,True,False,False
7992,Male,True,False,False,False,False
7992,Male,True,True,False,False,False
7992,Male,True,True,False,False,False
8795,Male,True,True,False,False,False
8795,Male,True,True,False,False,False
8795,Male,True,True,False,False,False
8795,Male,True,True,False,False,False
9073,Male,True,True,True,False,False
9073,Male,True,True,False,False,False
9073,Male,True,True,True,True,False
9073,Male,True,True,False,False,False
3612,Male,True,True,True,False,False
3612,Male,True,True,False,False,False
3612,Male,True,True,False,False,False
3612,Male,True,True,False,False,False
7902,Male,True,True,False,False,False
7902,Male,True,True,True,False,False
7902,Male,True,False,True,True,False
5416,Male,True,True,False,False,False
5416,Male,True,True,False,True,False
5416,Male,True,True,False,False,False
5416,Male,True,True,False,False,False
8167,Male,True,True,True,True,False
8167,Male,True,True,False,False,False
8167,Male,True,False,False,False,False
8167,Male,True,True,False,False,False
3338,Male,True,True,True,True,False
3338,Male,True,True,True,False,False
3338,Male,True,True,True,False,False
3338,Male,True,True,True,True,False
9469,Male,True,True,False,False,False
9469,Male,True,False,True,False,False
9469,Male,True,True,True,False,False
5145,Male,True,True,True,True,False
5145,Male,True,True,True,True,False
5145,Male,True,True,True,True,False
6627,Male,True,True,True,False,False
6627,Male,True,True,True,True,False
6627,Male,True,True,True,True,False
6627,Male,True,False,False,True,False
6633,Male,True,True,False,False,False
6633,Male,True,True,False,False,False
6633,Male,True,True,False,True,False
6633,Male,True,True,False,False,False
5186,Male,True,True,True,True,False
5186,Male,True,True,True,True,False
5186,Male,True,True,True,False,False
5186,Male,True,True,True,False,False
6593,Male,True,True,False,False,False
6593,Male,True,True,False,False,False
6593,Male,True,False,False,False,False
6593,Male,True,True,False,False,False
9211,Male,True,True,False,False,False
9211,Male,True,True,True,True,False
9211,Male,True,True,False,False,False
9211,Male,True,True,True,True,False
5110,Male,True,True,True,True,False
5110,Male,True,True,False,True,False
5110,Male,True,True,True,False,False
5110,Male,True,True,False,False,False
8291,Male,True,True,True,False,False
8291,Male,True,True,False,False,False
8291,Male,True,True,True,False,False
8291,Male,True,True,True,True,False
3417,Male,True,True,True,False,False
3417,Male,True,True,True,False,False
3417,Male,True,True,True,False,False
3417,Male,True,True,True,False,False
8760,Male,True,True,False,False,False
8760,Male,True,True,True,True,False
8760,Male,True,True,True,False,False
8760,Male,True,True,False,False,False
9287,Male,True,True,True,False,False
9287,Male,True,True,True,False,False
9287,Male,True,True,True,False,False
9287,Male,True,True,True,True,False
8845,Male,True,True,True,False,False
8845,Male,True,True,False,False,False
8845,Male,True,True,True,False,False
8845,Male,True,True,True,False,False
8989,Male,True,True,False,False,False
8989,Male,True,True,False,False,False
8989,Male,True,True,False,False,False
8989,Male,True,True,False,False,False
3752,Male,True,True,False,True,False
3752,Male,True,True,False,False,False
3752,Male,True,True,False,False,False
3752,Male,True,True,False,False,False
7745,Male,True,True,False,False,False
7745,Male,True,True,False,False,False
7745,Male,True,True,False,True,False
7745,Male,True,True,False,True,False
8076,Male,True,True,True,False,False
8076,Male,True,False,False,True,False
8076,Male,True,True,True,True,False
8076,Male,True,True,False,False,False
2601,Male,True,False,True,True,False
2601,Male,True,True,True,True,False
2601,Male,True,True,False,True,False
2601,Male,True,True,True,True,False
8843,Male,True,True,True,True,False
8843,Male,True,True,False,True,False
8843,Male,True,True,True,False,False
8843,Male,True,False,True,True,False
3197,Male,True,True,False,False,False
3197,Male,True,True,False,False,False
3197,Male,True,True,False,False,False
3197,Male,True,True,True,False,False
6589,Male,True,True,False,False,False
6589,Male,True,True,True,False,False
6589,Male,True,True,False,False,False
6589,Male,True,True,False,False,False
6419,Male,True,True,False,False,False
6419,Male,True,True,True,False,False
6419,Male,True,True,True,True,False
6419,Male,True,True,True,False,False
3027,Male,True,False,False,True,False
3027,Male,True,True,False,True,False
3027,Male,True,False,False,True,False
3027,Male,True,False,False,True,False
6352,Male,True,True,True,True,False
6352,Male,True,True,False,True,False
6352,Male,True,True,False,False,False
6352,Male,True,True,False,False,False
5447,Male,True,True,False,False,False
5447,Male,True,True,False,False,False
5447,Male,True,True,False,False,False
5447,Male,True,True,False,False,False
7856,Male,True,True,False,False,False
7856,Male,True,True,False,False,False
7856,Male,True,True,True,False,False
7856,Male,True,True,False,False,False
8516,Male,True,True,True,False,False
8516,Male,True,True,False,True,False
8516,Male,True,True,True,True,False
8516,Male,True,True,True,True,False
3849,Male,True,True,True,True,False
3849,Male,True,True,False,False,False
