pid,gender,rs_c0_feasible,rs_c1_posthoc_feasible,rs_c2_preinj_feasible,rs_c2_achieved
7074,Male,True,False,True,0.0
4311,Male,True,False,True,0.0
8566,Male,True,False,True,0.0
7460,Male,True,True,True,0.0
6650,Male,True,False,True,0.0
7018,Male,True,False,True,0.0
4071,Male,True,False,True,0.0
7225,Male,True,False,True,0.0
5728,Male,True,False,True,0.0
4126,Male,True,False,True,0.0
4158,Male,True,True,True,0.0
7992,Male,True,False,True,0.0
8795,Male,True,False,True,0.0
9073,Male,True,False,True,1.0
3612,Male,True,False,True,0.0
7902,Male,True,False,True,1.0
5416,Male,True,False,True,0.0
8167,Male,True,False,True,0.0
3338,Male,True,False,False,
9469,Male,True,False,True,1.0
5145,Male,True,False,False,
6627,Male,True,False,True,0.0
6633,Male,True,False,True,1.0
5186,Male,True,False,True,1.0
6593,Male,True,False,True,0.0
9211,Male,True,False,True,0.0
5110,Male,True,False,True,0.0
8291,Male,True,False,True,0.0
3417,Male,True,False,True,0.0
8760,Male,True,False,True,0.0
9287,Male,True,False,True,0.0
8845,Male,True,False,True,0.0
8989,Male,True,False,True,0.0
3752,Male,True,False,True,1.0
7745,Male,True,False,True,0.0
8076,Male,True,False,True,0.0
2601,Male,True,False,True,0.0
8843,Male,True,False,True,0.0
3197,Male,True,False,True,0.0
6589,Male,True,False,True,0.0
6419,Male,True,True,True,0.0
3027,Male,True,False,True,0.0
6352,Male,True,False,True,0.0
5447,Male,True,False,True,0.0
7856,Male,True,False,True,0.0
8516,Male,True,False,True,0.0
3849,Male,True,False,True,2.0
2733,Male,True,False,True,0.0
8363,Male,True,False,False,
9053,Male,True,False,True,1.0
7007,Male,True,False,True,0.0
8374,Male,True,False,True,0.0
5925,Male,True,False,True,0.0
4792,Male,True,False,True,0.0
8521,Male,True,False,True,0.0
8410,Male,True,False,True,0.0
9595,Male,True,False,True,0.0
8225,Male,True,False,True,0.0
6704,Male,False,False,True,1.0
6524,Male,True,False,True,0.0
3865,Male,True,False,True,0.0
7571,Male,True,True,True,0.0
9381,Male,True,False,True,0.0
2694,Male,True,False,True,1.0
6647,Male,True,True,True,0.0
6681,Male,True,False,True,0.0
3537,Male,True,False,True,0.0
8517,Male,True,False,True,0.0
5624,Male,True,False,True,0.0
9456,Male,True,False,True,0.0
6741,Male,True,False,True,1.0
9657,Male,True,False,True,0.0
2712,Male,True,False,True,0.0
8857,Male,True,False,True,0.0
3385,Male,True,False,True,0.0
3022,Male,True,False,True,1.0
6624,Male,True,False,True,0.0
8834,Male,True,False,True,0.0
3276,Male,True,False,True,0.0
3203,Male,True,False,True,0.0
6707,Male,True,False,True,1.0
4297,Male,True,False,True,1.0
9075,Male,True,False,True,0.0
5539,Male,True,False,True,0.0
5946,Male,True,False,True,0.0
3726,Male,True,True,True,0.0
6164,Male,True,False,True,0.0
8701,Male,True,False,True,0.0
9664,Male,True,False,True,0.0
8595,Female,True,False,True,0.0
6832,Female,True,False,True,1.0
6220,Female,True,False,True,0.0
7997,Female,True,False,True,1.0
6604,Female,True,False,True,1.0
8684,Female,True,False,True,0.0
3657,Female,True,False,True,0.0
6319,Female,True,False,True,0.0
6725,Female,True,False,True,0.0
9719,Female,True,False,True,1.0
8375,Female,True,False,True,0.0
6901,Female,True,False,True,1.0
9270,Female,True,False,True,1.0
8996,Female,True,True,True,0.0
3898,Female,True,False,True,0.0
4766,Female,True,False,True,0.0
6552,Female,True,False,True,1.0
4088,Female,True,False,True,1.0
6670,Female,True,False,True,1.0
9561,Female,True,False,True,0.0
3788,Female,True,False,True,0.0
7990,Female,True,False,True,0.0
6735,Female,True,False,True,1.0
9155,Female,True,False,True,0.0
2599,Female,True,False,True,0.0
3879,Female,True,False,True,0.0
4303,Female,True,False,True,0.0
7732,Female,True,False,True,0.0
7051,Female,True,True,True,0.0
8548,Female,True,False,True,0.0
4767,Female,True,False,True,0.0
7741,Female,True,False,True,0.0
6511,Female,True,False,True,0.0
9616,Female,True,False,True,1.0
6616,Female,True,False,True,1.0
7857,Female,True,False,True,0.0
9051,Female,True,False,True,0.0
7933,Female,True,False,True,0.0
8392,Female,True,False,True,0.0
7372,Female,True,False,True,1.0
6320,Female,True,False,True,0.0
8101,Female,True,False,True,0.0
9544,Female,True,False,True,0.0
8554,Female,True,False,True,0.0
6161,Female,True,False,True,0.0
4957,Female,True,False,True,0.0
7519,Female,True,False,True,0.0
9460,Female,True,False,True,1.0
4882,Female,True,False,True,0.0
5058,Female,True,False,True,1.0
2818,Female,True,False,True,0.0
8008,Female,True,False,True,0.0
6949,Female,True,False,True,0.0
8162,Female,True,False,True,0.0
4248,Female,True,False,True,1.0
7139,Female,True,False,True,0.0
6673,Female,True,False,True,0.0
6447,Female,True,False,True,0.0
8919,Female,True,False,True,0.0
9451,Female,True,False,True,0.0
3534,Female,True,False,True,0.0
8233,Female,True,False,True,0.0
8998,Female,True,False,True,0.0
6938,Female,True,False,True,0.0
7255,Female,True,False,True,0.0
4034,Female,True,False,True,0.0
